url,filename,source_page,degree,program,doctype,version,start_date,end_date,status,local_pdf_path,local_md_path,html_context
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Modulhandbuecher/Modulhandbuch_M_WIM21.0.pdf,Modulhandbuch_M_WIM21.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsinformatik - IT-Management,Modulhandbuch,21.0,2021-10-01,2024-04-01,,data\documents\original-docs\Master\Wirtschaftsinformatik - IT-Management\21.0_archiviert\Modulhandbuch_M_WIM21.0.pdf,data\documents\md-docs\Master\Wirtschaftsinformatik - IT-Management\21.0_archiviert\Modulhandbuch_M_WIM21.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Kacheln/Moduluebersicht_M_WIM21.0.pdf,Moduluebersicht_M_WIM21.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsinformatik - IT-Management,Moduluebersicht,21.0,2021-10-01,2024-04-01,,data\documents\original-docs\Master\Wirtschaftsinformatik - IT-Management\21.0_archiviert\Moduluebersicht_M_WIM21.0.pdf,data\documents\md-docs\Master\Wirtschaftsinformatik - IT-Management\21.0_archiviert\Moduluebersicht_M_WIM21.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Curricula/Curriculum_M_WIM21.0.pdf,Curriculum_M_WIM21.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsinformatik - IT-Management,Studienverlaufsplan,21.0,2021-10-01,2024-04-01,,data\documents\original-docs\Master\Wirtschaftsinformatik - IT-Management\21.0_archiviert\Curriculum_M_WIM21.0.pdf,data\documents\md-docs\Master\Wirtschaftsinformatik - IT-Management\21.0_archiviert\Curriculum_M_WIM21.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Modulhandbuecher/Modulhandbuch_M_WIM24.0.pdf,Modulhandbuch_M_WIM24.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsinformatik - IT-Management,Modulhandbuch,24.0,2024-10-01,2025-04-01,aktuell,data\documents\original-docs\Master\Wirtschaftsinformatik - IT-Management\24.0_aktuell\Modulhandbuch_M_WIM24.0.pdf,data\documents\md-docs\Master\Wirtschaftsinformatik - IT-Management\24.0_aktuell\Modulhandbuch_M_WIM24.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Kacheln/Moduluebersicht_M_WIM24.0.pdf,Moduluebersicht_M_WIM24.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsinformatik - IT-Management,Moduluebersicht,24.0,2024-10-01,2025-04-01,aktuell,data\documents\original-docs\Master\Wirtschaftsinformatik - IT-Management\24.0_aktuell\Moduluebersicht_M_WIM24.0.pdf,data\documents\md-docs\Master\Wirtschaftsinformatik - IT-Management\24.0_aktuell\Moduluebersicht_M_WIM24.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Ordnungen/Studien-_Pr%C3%BCfungsordnungen/SPO_M_WIM24.0.pdf,SPO_M_WIM24.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsinformatik - IT-Management,Studien- und Pruefungsordnung,24.0,2024-10-01,2025-04-01,aktuell,data\documents\original-docs\Master\Wirtschaftsinformatik - IT-Management\24.0_aktuell\SPO_M_WIM24.0.pdf,data\documents\md-docs\Master\Wirtschaftsinformatik - IT-Management\24.0_aktuell\SPO_M_WIM24.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Curricula/Curriculum_M_WIM24.0.pdf,Curriculum_M_WIM24.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsinformatik - IT-Management,Studienverlaufsplan,24.0,2024-10-01,2025-04-01,aktuell,data\documents\original-docs\Master\Wirtschaftsinformatik - IT-Management\24.0_aktuell\Curriculum_M_WIM24.0.pdf,data\documents\md-docs\Master\Wirtschaftsinformatik - IT-Management\24.0_aktuell\Curriculum_M_WIM24.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Modulhandbuecher/Modulhandbuch_M_WIng1.0.pdf,Modulhandbuch_M_WIng1.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Modulhandbuch,,,,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\unknown_archiviert\Modulhandbuch_M_WIng1.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\unknown_archiviert\Modulhandbuch_M_WIng1.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Ordnungen/Studien-_Pr%C3%BCfungsordnungen/PO_M_WIng1.0.pdf,PO_M_WIng1.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Pruefungsverfahrensordnung,,,,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\unknown_archiviert\PO_M_WIng1.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\unknown_archiviert\PO_M_WIng1.0.md,
https://www.fh-wedel.de/fileadmin/FHW-Files/Dokumente_FHW/Organisation/Ordnungen/Studien-_Pr%C3%BCfungsordnungen/SO_M_WIng1.0.pdf,SO_M_WIng1.0.pdf,https://www.fh-wedel.de/studieren/pruefungscenter/pruefungsordnungen/,Master,Wirtschaftsingenieurwesen,Studien- und Pruefungsordnung,,,,,data\documents\original-docs\Master\Wirtschaftsingenieurwesen\unknown_archiviert\SO_M_WIng1.0.pdf,data\documents\md-docs\Master\Wirtschaftsingenieurwesen\unknown_archiviert\SO_M_WIng1.0.md,
